p,omega_1,omega_4,omega_5,omega_6,sigma_4,sigma_5,sigma_6
283,46,126,148,164,0.562681,0.485550,0.429521
659,46,160,194,228,0.761821,0.710993,0.660008
941,46,176,216,256,0.816430,0.774564,0.732608
1129,46,166,202,235,0.855996,0.824727,0.796073
1223,46,162,195,226,0.870382,0.844001,0.819219
1693,46,180,220,260,0.895794,0.872627,0.849432
1787,46,180,220,258,0.901288,0.879346,0.858502
2069,46,184,228,272,0.912832,0.891955,0.871059
2351,46,173,214,255,0.927992,0.910911,0.893814
2539,46,180,222,264,0.930571,0.914363,0.898142
2633,46,178,222,266,0.933814,0.917426,0.901026
3761,46,176,218,258,0.954218,0.943290,0.932888
4231,46,184,230,276,0.957416,0.946758,0.936094
4513,46,183,228,273,0.960301,0.950532,0.940758
4889,46,180,224,268,0.963971,0.955159,0.946344
5077,46,182,226,268,0.964912,0.956427,0.948333
5171,46,184,228,272,0.965163,0.956833,0.948499
5641,46,184,230,276,0.968068,0.960078,0.952085
5923,46,184,230,276,0.969589,0.961980,0.954368
6299,46,184,230,276,0.971406,0.964251,0.957095
6581,46,184,230,276,0.972632,0.965784,0.958935
6863,46,178,222,266,0.974632,0.968358,0.962082
7333,46,184,230,276,0.975440,0.969296,0.963150
8179,46,184,230,276,0.977982,0.972474,0.966964
8273,46,184,230,276,0.978232,0.972787,0.967340
8461,46,180,224,268,0.979189,0.974101,0.969012
8837,46,184,230,276,0.979622,0.974524,0.969426
9871,46,184,230,276,0.981757,0.977194,0.972630
